Rank,Name,Symbol,Market Cap,Price
650,ECC,ECC,8078347,0.0003231
651,Lido DAO Token,LDO,8073605,0.9117
652,Content Value Network,CVNT,8051333,0.008704
653,PCHAIN,PI,7982096,0.009943
654,Dawn Protocol,DAWN,7986047,0.1806
655,ThoreNext,THX,7917622,0.1651
656,Bird.Money,BIRD,7798876,101.06
657,Bread,BRD,7786986,0.08776
658,High Performance Blockchain,HPB,7775785,0.1064
659,Jewel,JWL,7768855,0.1420
660,Elamachain,ELAMA,7396475,0.009975
661,PIXEL,PXL,7665628,0.01375
662,Viacoin,VIA,7603138,0.3281
663,Tap,XTP,7618506,0.006184
664,Kryll,KRL,7611489,0.2537
665,Polis,POLIS,7592571,0.7722
666,PlayFuel,PLF,7591619,0.01518
667,Gulden,NLG,7562756,0.01417
668,#MetaHash,MHC,7546282,0.003234
669,TE-FOOD,TONE,7578940,0.01602
670,Wagerr,WGR,7489893,0.03835
671,TokenClub,TCT,7404007,0.01068
672,TenX,PAY,7288146,0.04977
673,Aryacoin,AYA,7255415,0.04522
674,Olive,OLE,7156376,0.02583
675,TrustVerse,TRV,7149845,0.01470
676,Blockzero Labs,XIO,6971555,0.2111
677,Humanscape,HUM,7128678,0.01421
678,Cobak Token,CBK,7144765,2.54
679,Origin Dollar,OUSD,7066931,1.01
680,Quiztok,QTCON,7071490,0.01457
681,POA,POA,7048897,0.02483
682,VNX Exchange,VNXLU,6924468,0.2464
683,APY.Finance,APY,6923918,0.4523
684,Everex,EVX,7007528,0.3087
685,AEN Smart Token,AENS,7028685,0.01002
686,Grid+,GRID,6983668,0.1780
687,Nucleus Vision,NCASH,6891603,0.0009703
688,MixMarvel,MIX,6949079,0.001924
689,CWV Chain,CWV,6926649,0.001956
690,Dero,DERO,6834429,0.6619
691,LiquidApps,DAPP,6795346,0.009646
692,Hacken Token,HAI,6636353,0.03576
693,QuickX Protocol,QCX,6809201,0.01366
694,Darwinia Commitment Token,KTON,6725786,127.84
695,Tokamak Network,TON,6746833,2.47
696,Achain,ACT,6621410,0.006729
697,GameCredits,GAME,6665694,0.05037
698,LGO Token,LGO,6603400,0.1223
699,Pillar,PLR,6595976,0.02543
700,Orient Walt,HTDF,6554349,0.06910
701,Lightning Bitcoin,LBTC,6434648,1.67
702,Mirrored Apple,mAAPL,6510438,147.01
703,Cryptocean,CRON,6479098,0.7902
704,TRONCLASSIC,TRXC,6474459,0.00001392
705,Levolution,LEVL,6450655,0.09664
706,Eminer,EM,6412442,0.004434
707,Jibrel Network,JNT,6411810,0.03775
708,Effect.AI,EFX,6450548,0.02558
709,BIZZCOIN,BIZZ,6365933,0.9866
710,Clams,CLAM,6345237,1.40
711,APIX,APIX,6311096,0.05339
712,Minter Network,BIP,6504500,0.001941
713,Aragon Court,ANJ,6274960,0.05116
714,GeoDB,GEO,6248371,0.2897
715,Seele-N,SEELE,6255478,0.008942
716,Hubii Network,HBT,6229829,0.4023
717,Particl,PART,6206011,0.6386
718,Realio Network,RIO,6144245,0.9354
719,Propy,PRO,6147992,0.08770
720,Atletico De Madrid Fan Token,ATM,6006908,4.91
721,Geeq,GEEQ,6227083,0.8170
722,Level01,LVX,6068295,0.03683
723,Nestree,EGG,6032144,0.004309
724,JustLiquidity,JUL,6013994,37.95
725,ELYSIA,EL,6017792,0.002478
726,Valobit,VBIT,5880304,0.01212
727,Blox,CDT,5992040,0.008883
728,VIBE,VIBE,5968194,0.02294
729,ZEON,ZEON,5901507,0.0002018
730,SmartCash,SMART,5876418,0.004156
731,VeriBlock,VBK,5863685,0.008401
732,BuySell,BULL,5844268,1.16
733,DAOstack,GEN,5882439,0.1221
734,Mirrored Tesla,mTSLA,5849288,929.88
735,DragonVein,DVC,5843885,0.03811
736,BLOCKv,VEE,5834664,0.001788
737,Matrix AI Network,MAN,5758478,0.02687
738,BTSE,BTSE,5817663,1.34
739,INLOCK,ILK,5853528,0.004372
740,Newton,NEW,5817757,0.0002828
741,Free Tool Box Coin,FTB,5804715,0.006711
742,Safe Haven,SHA,5759548,0.001916
743,TOP,TOP,5783721,0.001123
744,Phantasma,SOUL,5771025,0.1021
745,Auctus,AUC,5700903,0.1798
746,Tokenomy,TEN,5689817,0.02845
747,USDQ,USDQ,5647642,1.02
748,Metrix Coin,MRX,5658419,0.0003229
749,Aitra,AITRA,5647618,3.76
750,Digitex Token,DGTX,5583490,0.005997
751,Idle,IDLE,5569856,6.24
752,YOYOW,YOYOW,5678970,0.01157
753,Mettalex,MTLX,5532397,4.93
754,Etheroll,DICE,5507058,0.7865
755,DeFi Yield Protocol,DYP,5483286,4.81
756,RigoBlock,GRG,5471550,4.18
757,SunContract,SNC,5472351,0.04460
758,Covesting,COV,5425852,0.3014
759,Hedget,HGET,5367825,3.06
760,Cryptopay,CPAY,5406183,0.07907
761,Infinity Esaham,INFS,5402508,8.51
762,PumaPay,PMA,5394008,0.0002010
763,EUNO,EUNO,5393175,0.0008841
764,Precium,PCM,5406964,0.007233
765,PlayChip,PLA,5380305,0.0003841
766,SymVerse,SYM,5362531,0.08007
767,Rubycoin,RBY,5348068,0.1938
768,Voise,VOISE,5321965,0.009688
769,Counterparty,XCP,5291480,2.02
770,Monero Classic,XMC,5044325,0.2630
771,CryptoPing,PING,5211292,0.5791
772,Mobius,MOBI,5202995,0.01010
773,United Traders Token,UTT,5207315,0.1387
774,Wootrade,WOO,5203558,0.02633
775,Esportbits,HLT,5185305,0.2253
776,Agrello,DLT,5131535,0.05349
777,HOLD,HOLD,5160775,0.007322
778,ROOBEE,ROOBEE,4996332,0.002036
779,Shift,SHIFT,5142484,0.3710
780,ZClassic,ZCL,5138289,0.5648
781,UCA Coin,UCA,5067541,0.003182
782,DEAPcoin,DEP,4993302,0.005656
783,42-coin,42,4994352,118913.27
784,UniLend,UFT,5000573,0.4630
785,Carboncoin,CARBON,4973684,0.0003231
786,Prosper,PROS,4965444,1.28
787,OG Fan Token,OG,4962783,3.89
788,WeShow Token,WET,4932266,0.004493
789,FABRK,FAB,4902507,0.001023
790,PolySwarm,NCT,5182513,0.003351
791,ProximaX,XPX,4828106,0.0007918
792,Blocery,BLY,4835324,0.08866
793,TEMCO,TEMCO,4803159,0.001470
794,ZIMBOCASH,ZASH,4812166,0.004253
795,BitMart Token,BMX,4798404,0.02763
796,Dragon Coins,DRG,4782243,0.01372
797,Bibox Token,BIX,4770459,0.05787
798,Jobchain,JOB,4749636,0.0008034
799,Alpha Quark Token,AQT,4815143,1.92
800,Penta,PNT,4728768,0.0002250
801,Unitrade,TRADE,4607846,0.1687
802,KIMCHI.finance,KIMCHI,4694647,0.005033
803,Multiplier,MXX,4715634,0.02964
804,GET Protocol,GET,4689832,0.4118
805,Mysterium,MYST,4681006,0.2337
806,FLETA,FLETA,4676246,0.004347
807,MIR COIN,MIR,4665062,0.005976
808,AS Roma Fan Token,ASR,4666215,3.82
809,Mirrored Invesco QQQ Trust,mQQQ,4627110,345.18
810,Incent,INCNT,4591805,0.09979
811,Cardstack,CARD,4650756,0.001972
812,Ternio,TERN,4576070,0.007987
813,IoT Chain,ITC,4570003,0.05240
814,Rapidz,RPZX,4442777,0.002587
815,Trittium,TRTT,4552115,0.03531
816,Diamond,DMD,4549146,1.28
817,BnkToTheFuture,BFT,4540401,0.006220
818,GAPS,GAP,4521737,0.4522
819,Noku,NOKU,4484131,0.1434
820,Hydro Protocol,HOT,4491071,0.006398
821,Santiment Network Token,SAN,4451744,0.07033
822,Nexxo,NEXXO,4449238,0.02073
823,CUTcoin,CUT,4431339,0.03488
824,StakeCubeCoin,SCC,4420054,0.5489
825,RING X PLATFORM,RINGX,4458727,0.03249
826,QLC Chain,QLC,4418894,0.01841
827,Mirrored Amazon,mAMZN,4404201,3488.27
828,Polyient Games Governance Token,PGT,4394547,250.40
829,bitCNY,BITCNY,4392854,0.1555
830,StableXSwap,STAX,4379472,0.3209
831,Callisto Network,CLO,4378475,0.001700
832,Nexty,NTY,4375938,0.00002784
833,BackPacker Coin,BPC,4353567,0.7230
834,All Sports,SOC,4380319,0.002920
835,apM Coin,APM,4333729,0.01198
836,ODEM,ODE,4305827,0.01965
837,Valor Token,VALOR,4327531,0.2160
838,Neumark,NEU,4279368,0.1267
839,Alchemy Pay,ACH,4263015,0.003515
840,dForce USDx,USDX,4242864,0.9878
841,NuBits,USNBT,4225523,0.3848
842,Zano,ZANO,4217220,0.4024
843,Kira Network,KEX,4176531,0.3333
844,Blackmoon,BMC,4172327,0.07727
845,Qredit,XQR,4176033,0.006228
846,Spectre.ai Dividend Token,SXDT,4161163,0.05070
847,Digix Gold Token,DGX,4099935,53.48
848,Burst,BURST,4095746,0.001938
849,BitCore,BTX,4093258,0.2272
850,Hyprr (Howdoo),UDOO,4088617,0.04180
851,Safe,SAFE,3523543,0.1691
852,Fatcoin,FAT,4035259,0.03372
853,VNDC,VNDC,4020215,0.00003944
854,Mirrored Microsoft,mMSFT,4074096,232.43
855,ColossusXT,COLX,4061778,0.0003229
856,SONM,SNM,4183162,0.01163
857,DATA,DTA,4107848,0.0003572
858,Dentacoin,DCN,4014201,0.000007601
859,Litecoin Cash,LCC,4002917,0.005651
860,Swingby,SWINGBY,4004505,0.07482
861,T.OS,TOSC,4004026,0.004847
862,Dollars,USDX,3996803,0.7765
863,SENSO,SENSO,3984652,0.3255
864,SIX,SIX,3982548,0.01455
865,GridCoin,GRC,3912841,0.009502
866,Abyss,ABYSS,3978817,0.01740
867,Digital Asset Guarantee Token,DAGT,4110293,0.1242
868,Nsure.Network,NSURE,3932096,0.6936
869,Tixl [old],MTXLT,3915682,78.29
870,Zel,ZEL,3935468,0.03264
871,Credits,CS,3913696,0.01751
872,Viberate,VIB,3881327,0.01993
873,Mirrored iShares Gold Trust,mIAU,3902284,18.55
874,suterusu,SUTER,3888306,0.002394
875,Casino Betting Coin,CBC,3873658,0.02485
876,Mirrored iShares Silver Trust,mSLV,3828370,25.01
877,Monetha,MTH,4057691,0.01008
878,Mirrored United States Oil Fund,mUSO,3806023,36.06
879,GHOSTPRISM,GHOST,3802572,1.08
880,VeriDocGlobal,VDG,3784510,0.0004176
881,FREE Coin,FREE,3768145,0.0000003882
882,NAGA,NGC,3767750,0.05236
883,OpenDAO,OPEN,3760342,1.04
884,Tixl [NEW],TXL,3753221,0.06941
885,BakeryToken,BAKE,3693761,0.02887
886,fyeth.finance,YETH,3698000,6.75
887,Mirrored Alibaba,mBABA,3684833,268.81
888,carVertical,CV,3676689,0.0004822
889,Mirrored Netflix,mNFLX,3671554,582.07
890,CanonChain,CZR,3671386,0.006306
891,Quasarcoin,QAC,3666192,0.02176
892,GlobalBoost-Y,BSTY,3665972,0.2042
893,SingularDTV,SNGLS,3838011,0.006397
894,Lykke,LKK,3650656,0.01152
895,Remme,REM,3625401,0.003625
896,DECOIN,DTEP,3717761,0.06863
897,VNT Chain,VNT,3604426,0.001326
898,Sense,SENSE,3594775,0.004466
899,CasinoCoin,CSC,3573585,0.00008934
900,Emercoin,EMC,3544746,0.07567
901,Mirrored Twitter,mTWTR,3541799,48.64
902,SwftCoin,SWFTC,3492573,0.0008721
903,Offshift,XFT,3521268,1.96
904,BitGreen,BITG,3482447,0.2916
905,SmartMesh,SMT,3473873,0.002591
906,TronEuropeRewardCoin,TERC,3183330,0.01329
907,MediShares,MDS,3440156,0.002867
908,Phore,PHR,3502513,0.1513
909,Mirrored ProShares VIX,mVIXY,3426468,14.26
910,Qubitica,QBIT,3421268,4.23
911,Parachute,PAR,3453208,0.005864
912,Game.com,GTC,3403445,0.004470
913,Diamond Platform Token,DPT,3394943,1.97
914,indaHash,IDH,3386574,0.008468
915,Epic Cash,EPIC,3391561,0.3325
916,Swace,SWACE,3374941,0.006575
917,Dev Protocol,DEV,3429152,4.87
918,Goldcoin,GLC,3355472,0.08054
919,Smartlands Network,SLT,3340464,0.6549
920,BOLT,BOLT,3338178,0.003368
921,SonoCoin,SONO,3295811,0.1167
922,BaaSid,BAAS,3662154,0.0007181
923,Traceability Chain,TAC,3289147,0.003605
924,Block-Chain.com,BC,3281692,0.01583
925,YOU COIN,YOU,3278762,0.005896
926,FinNexus,FNX,3267689,0.1861
927,Budbo,BUBO,3266131,0.03975
928,Lamden,TAU,3261244,0.02293
929,XYO,XYO,3301556,0.0002570
930,OneRoot Network,RNT,3234051,0.01138
931,Pluton,PLU,3215150,3.77
932,BlockStamp,BST,3206742,0.1203
933,Zenfuse,ZEFU,3199347,0.08356
934,Rupiah Token,IDRT,3198694,0.00007144
935,Spiking,SPIKE,3198994,0.007223
936,ZeroSwap,ZEE,3188690,0.1413
937,Atlas Protocol,ATP,3165033,0.001229
938,Mooncoin,MOON,3165458,0.00001392
939,Peculium,PCL,3163081,0.001551
940,SOMESING,SSX,3184308,0.02221
941,CPChain,CPC,3164417,0.008399
942,Bezant,BZNT,3160524,0.003598
943,EasyFi,EASY,3165956,5.96
944,DEJAVE,DJV,3129100,1780.93
945,DigitalNote,XDN,3132161,0.0006459
946,PANTHEON X,XPN,3134953,0.005021
947,Qitmeer,PMEER,3114110,0.02157
948,NIX,NIX,3113826,0.06405
949,Feathercoin,FTC,3113063,0.01316
950,UnlimitedIP,UIP,3114608,0.002346
951,ScPrime,SCP,3084251,0.09569
952,Smart MFG,MFG,3077708,0.01042
953,Decentrahub Coin,DCNTR,3047176,2.95
954,Aeon,AEON,3049974,0.1927
955,Earneo,RNO,3043421,0.01196
956,BitTube,TUBE,3015497,0.01047
957,Dimecoin,DIME,3014031,0.000006301
958,Minereum,MNE,3010712,0.2687
959,XMax,XMX,3008669,0.0002098
960,Folder Protocol,FOL,3007233,1.00
961,HYCON,HYC,3006408,0.001305
962,Idena,IDNA,3011290,0.08276
963,HyperDAO,HDAO,2977718,0.007740
964,Multi Channel Influencer Creater Cloud Funding Platform,MCI,2968088,0.006277
965,NextDAO,NAX,2964463,0.001685
966,PotCoin,POT,2954557,0.01310
967,TrueFeedBack,TFB,2927720,0.001242
968,Airbloc,ABL,2946970,0.01168
969,Myriad,XMY,2939037,0.001664
970,Tripio,TRIO,2943506,0.0007849
971,Lympo,LYM,2933320,0.003548
972,ToaCoin,TOA,2904464,0.0003229
973,iEthereum,IETH,2908205,0.1616
974,e-Gulden,EFL,2880019,0.1679
975,BUX Token,BUX,2879699,0.04973
976,UniLayer,LAYER,2881644,0.1455
977,Jarvis Network,JRT,2862952,0.09870
978,Insights Network,INSTAR,2861302,0.01454
979,Validity,VAL,2840873,0.6761
980,Midas,MIDAS,2828472,2.10
981,SmartCredit Token,SMARTCREDIT,2842017,2.57
982,Bitrue Coin,BTR,2824812,0.03508
983,Coineal Token,NEAL,2808141,0.01163
984,PIBBLE,PIB,2792932,0.0001711
985,Verasity,VRA,2793550,0.0007198
986,Holyheld,HOLY,2685744,0.8870
987,Blockmason Credit Protocol,BCPT,2777623,0.02391
988,EXMO Coin,EXM,2769931,0.003882
989,Benchmark Protocol,MARK,2760989,1.43
990,DeepOnion,ONION,2784632,0.1243
991,TERA,TERA,2768985,0.003278
992,HTMLCOIN,HTML,2732236,0.00005149
993,Origo,OGO,2728249,0.006193
994,SynLev,SYN,2725128,0.2225
995,Genaro Network,GNX,2724168,0.01002
996,EOSDT,EOSDT,2680696,1.01
997,Ormeus Cash,OMC,2667431,0.01401
998,Egretia,EGT,2676297,0.0006344
999,Wings,WINGS,2663578,0.02664
1000,Amon,AMN,2656675,0.003793
